,Normalized Gini
LR_breast_cancer_FOLD1,0.959711929861
LR_breast_cancer_FOLD0,0.891869324705
LR_breast_cancer_FOLD3,0.975785408621
LR_breast_cancer_FOLD2,0.969731760777
LR_breast_cancer_FOLD4,0.947395887694
KNN_breast_cancer_FOLD4,0.941133493372
KNN_breast_cancer_FOLD1,0.942490345475
KNN_breast_cancer_FOLD0,0.918171380858
KNN_breast_cancer_FOLD3,0.945725915875
KNN_breast_cancer_FOLD2,0.953136415823
Decision_Tree_breast_cancer_FOLD4,0.872247155829
Decision_Tree_breast_cancer_FOLD1,0.872247155829
Decision_Tree_breast_cancer_FOLD0,0.872247155829
Decision_Tree_breast_cancer_FOLD3,0.872247155829
Decision_Tree_breast_cancer_FOLD2,0.872247155829
GaussianNB_breast_cancer_FOLD4,0.963469366454
GaussianNB_breast_cancer_FOLD2,0.963573739693
GaussianNB_breast_cancer_FOLD3,0.960755662248
GaussianNB_breast_cancer_FOLD0,0.950109591901
GaussianNB_breast_cancer_FOLD1,0.957520091848
MLP_breast_cancer_FOLD4,0.868907212191
MLP_breast_cancer_FOLD3,0.927147479386
MLP_breast_cancer_FOLD2,0.889781859931
MLP_breast_cancer_FOLD1,0.880388268448
MLP_breast_cancer_FOLD0,0.799185888738
SVM_breast_cancer_FOLD4,0.959294436906
SVM_breast_cancer_FOLD2,0.96221688759
SVM_breast_cancer_FOLD3,0.984135267717
SVM_breast_cancer_FOLD0,0.959294436906
SVM_breast_cancer_FOLD1,0.976411648053
