,Global Utility
Decision_Tree_breast_cancer_FOLD0,0.565973948206
MLP_breast_cancer_FOLD4,0.82196376407
SVM_breast_cancer_FOLD0,0.739621085691
GaussianNB_breast_cancer_FOLD4,0.824793213966
KNN_breast_cancer_FOLD1,0.565973948206
SVM_breast_cancer_FOLD4,0.911668978921
GaussianNB_breast_cancer_FOLD1,0.565973948206
MLP_breast_cancer_FOLD0,0.650520161263
LR_breast_cancer_FOLD1,0.655309365534
Decision_Tree_breast_cancer_FOLD4,0.649101353009
KNN_breast_cancer_FOLD2,0.650520161263
Decision_Tree_breast_cancer_FOLD3,0.161884415866
GaussianNB_breast_cancer_FOLD0,0.739621085691
LR_breast_cancer_FOLD2,0.560556050937
GaussianNB_breast_cancer_FOLD3,0.490484515239
SVM_breast_cancer_FOLD3,0.655309365534
Decision_Tree_breast_cancer_FOLD1,0.0162891512946
MLP_breast_cancer_FOLD1,0.661008352583
KNN_breast_cancer_FOLD4,0.911668978921
Decision_Tree_breast_cancer_FOLD2,0.490484515239
LR_breast_cancer_FOLD4,0.911668978921
LR_breast_cancer_FOLD0,0.739621085691
MLP_breast_cancer_FOLD2,0.560556050937
SVM_breast_cancer_FOLD1,0.655309365534
GaussianNB_breast_cancer_FOLD2,0.57227835881
KNN_breast_cancer_FOLD3,0.739621085691
MLP_breast_cancer_FOLD3,0.57227835881
KNN_breast_cancer_FOLD0,0.646705750616
LR_breast_cancer_FOLD3,0.739621085691
SVM_breast_cancer_FOLD2,0.650520161263
