,Global Utility
LR_breast_cancer_FOLD1,0.224442563819
LR_breast_cancer_FOLD0,0.00979745409376
LR_breast_cancer_FOLD3,0.369323525305
LR_breast_cancer_FOLD2,0.334348013411
LR_breast_cancer_FOLD4,0.118767143509
KNN_breast_cancer_FOLD4,0.321874175312
KNN_breast_cancer_FOLD1,0.279024741808
KNN_breast_cancer_FOLD0,0.200110994706
KNN_breast_cancer_FOLD3,0.325840112644
KNN_breast_cancer_FOLD2,0.318117666101
Decision_Tree_breast_cancer_FOLD4,0.286720889203
Decision_Tree_breast_cancer_FOLD1,0.286720889203
Decision_Tree_breast_cancer_FOLD0,0.286720889203
Decision_Tree_breast_cancer_FOLD3,0.286720889203
Decision_Tree_breast_cancer_FOLD2,0.286720889203
GaussianNB_breast_cancer_FOLD4,0.00953068297702
GaussianNB_breast_cancer_FOLD2,0.00879688089087
GaussianNB_breast_cancer_FOLD3,0.0106811036274
GaussianNB_breast_cancer_FOLD0,0.0077425745606
GaussianNB_breast_cancer_FOLD1,0.00808802761879
MLP_breast_cancer_FOLD4,0.00506871602432
MLP_breast_cancer_FOLD3,0.00828575283803
MLP_breast_cancer_FOLD2,0.00861687297288
MLP_breast_cancer_FOLD1,0.00632910254271
MLP_breast_cancer_FOLD0,0.0032730360893
SVM_breast_cancer_FOLD4,0.207027639901
SVM_breast_cancer_FOLD2,0.235198233474
SVM_breast_cancer_FOLD3,0.47458941459
SVM_breast_cancer_FOLD0,0.235198233474
SVM_breast_cancer_FOLD1,0.343560578221
