,Weight
LR_breast_cancer_FOLD1,0.0479638197875
LR_breast_cancer_FOLD0,0.0445732289379
LR_breast_cancer_FOLD3,0.0487671290042
LR_breast_cancer_FOLD2,0.0484645839745
LR_breast_cancer_FOLD4,0.0473482971409
KNN_breast_cancer_FOLD4,0.0470353195241
KNN_breast_cancer_FOLD1,0.0471031313411
KNN_breast_cancer_FOLD0,0.0458877349288
KNN_breast_cancer_FOLD3,0.0472648364431
KNN_breast_cancer_FOLD2,0.0476351932898
Decision_Tree_breast_cancer_FOLD4,0.0
Decision_Tree_breast_cancer_FOLD1,0.0
Decision_Tree_breast_cancer_FOLD0,0.0
Decision_Tree_breast_cancer_FOLD3,0.0
Decision_Tree_breast_cancer_FOLD2,0.0
GaussianNB_breast_cancer_FOLD4,0.0481516063576
GaussianNB_breast_cancer_FOLD2,0.0481568226512
GaussianNB_breast_cancer_FOLD3,0.0480159827236
GaussianNB_breast_cancer_FOLD0,0.0474839207749
GaussianNB_breast_cancer_FOLD1,0.0478542776216
MLP_breast_cancer_FOLD4,0.0
MLP_breast_cancer_FOLD3,0.0463363361797
MLP_breast_cancer_FOLD2,0.0
MLP_breast_cancer_FOLD1,0.0
MLP_breast_cancer_FOLD0,0.0
SVM_breast_cancer_FOLD4,0.047942954613
SVM_breast_cancer_FOLD2,0.0480890108342
SVM_breast_cancer_FOLD3,0.0491844324933
SVM_breast_cancer_FOLD0,0.047942954613
SVM_breast_cancer_FOLD1,0.0487984267658
