,Global Utility
MLP_krkopt_FOLD4,1.0
GaussianNB_krkopt_FOLD3,0.0
KNN_krkopt_FOLD1,1.0
GaussianNB_krkopt_FOLD2,0.0
SVM_krkopt_FOLD2,1.0
KNN_krkopt_FOLD3,1.0
KNN_krkopt_FOLD0,1.0
Decision_Tree_krkopt_FOLD4,1.0
SVM_krkopt_FOLD4,1.0
LR_krkopt_FOLD2,0.250366250599
SVM_krkopt_FOLD1,1.0
Decision_Tree_krkopt_FOLD0,1.0
LR_krkopt_FOLD1,0.250380707364
LR_krkopt_FOLD3,0.286592513647
SVM_krkopt_FOLD0,1.0
LR_krkopt_FOLD4,0.29464790701
KNN_krkopt_FOLD4,1.0
LR_krkopt_FOLD0,0.32514675106
MLP_krkopt_FOLD3,1.0
Decision_Tree_krkopt_FOLD3,1.0
GaussianNB_krkopt_FOLD1,0.0
SVM_krkopt_FOLD3,1.0
GaussianNB_krkopt_FOLD4,0.0
MLP_krkopt_FOLD2,1.0
GaussianNB_krkopt_FOLD0,0.0
KNN_krkopt_FOLD2,1.0
MLP_krkopt_FOLD0,1.0
MLP_krkopt_FOLD1,1.0
Decision_Tree_krkopt_FOLD2,1.0
Decision_Tree_krkopt_FOLD1,1.0
