,Alt/Cri ,F1,MCC,Cohen Kappa,Precision(Macro),Hamming Loss,Recall(Macro),Accuracy,Ranking
0,MLP_krkopt_FOLD4,0.647049607837,0.662511636567,0.662258489964,0.660977368884,0.302373054351,0.652110092083,0.697626945649,3
1,GaussianNB_krkopt_FOLD3,0.0948755513775,0.0728775058757,0.0668770148558,0.123867629443,0.871271985725,0.233143411653,0.128728014275,27
2,KNN_krkopt_FOLD1,0.569121353931,0.554650269589,0.553537288367,0.645881592685,0.397406559878,0.535124389679,0.602593440122,11
3,GaussianNB_krkopt_FOLD2,0.0884605036885,0.0685315286003,0.0627788820883,0.167725045959,0.88037668618,0.246408112295,0.11962331382,28
4,SVM_krkopt_FOLD2,0.618042530912,0.582697695264,0.582017722945,0.650035017137,0.372613896666,0.600984379777,0.627386103334,9
5,KNN_krkopt_FOLD3,0.566511819694,0.567479997525,0.566497776908,0.69161973803,0.385674228906,0.522502873033,0.614325771094,14
6,KNN_krkopt_FOLD0,0.595503350534,0.571256135817,0.569955691932,0.663626392566,0.382465057179,0.559644413299,0.617534942821,10
7,Decision_Tree_krkopt_FOLD4,0.764357588873,0.686595725364,0.686501685769,0.757278745493,0.280939015055,0.773571103489,0.719060984945,21
8,SVM_krkopt_FOLD4,0.602182056993,0.582393776367,0.581791358224,0.658859656886,0.3730543506,0.582832305171,0.6269456494,5
9,LR_krkopt_FOLD2,0.316488712501,0.27469164497,0.273366238521,0.283121618763,0.656655637567,0.411547411816,0.343344362433,18
10,SVM_krkopt_FOLD1,0.563351088389,0.568849195194,0.568291164072,0.606845788179,0.385202135774,0.548012536731,0.614797864226,8
11,Decision_Tree_krkopt_FOLD0,0.746766822022,0.69274662255,0.69267733065,0.736107117657,0.275476493011,0.762758194073,0.724523506989,23
12,LR_krkopt_FOLD1,0.318078460035,0.274822784701,0.273414967298,0.285452023932,0.656750572082,0.407728699826,0.343249427918,17
13,LR_krkopt_FOLD3,0.306995217943,0.284342986561,0.283098890987,0.279468220019,0.647463675758,0.38957788453,0.352536324242,16
14,SVM_krkopt_FOLD0,0.600284266719,0.586843507537,0.586300345072,0.650115307273,0.368996188056,0.576995409736,0.631003811944,7
15,LR_krkopt_FOLD4,0.32201580134,0.286369561672,0.285010777471,0.292407285037,0.645828017351,0.401009482621,0.354171982649,15
16,KNN_krkopt_FOLD4,0.578219379862,0.564958492093,0.563806115998,0.652603101808,0.388364378668,0.552575561756,0.611635621332,12
17,LR_krkopt_FOLD0,0.324416093497,0.295190088445,0.293820073488,0.290612849215,0.638881829733,0.417192189189,0.361118170267,19
18,MLP_krkopt_FOLD3,0.644382286802,0.684503024508,0.684058387159,0.653981959086,0.282691817487,0.640753769514,0.717308182513,0
19,Decision_Tree_krkopt_FOLD3,0.748806221919,0.691971650163,0.691852293366,0.740488508228,0.276064236554,0.760610636334,0.723935763446,24
20,GaussianNB_krkopt_FOLD1,0.0763611893782,0.0547097698307,0.0500708118988,0.13010605371,0.891431477244,0.222376528612,0.108568522756,26
21,SVM_krkopt_FOLD3,0.592832581578,0.589311658524,0.588862353006,0.653846870287,0.366811113943,0.574512339666,0.633188886057,6
22,GaussianNB_krkopt_FOLD4,0.086265850613,0.0751987996614,0.069004447645,0.15217752581,0.870885429957,0.192135121998,0.129114570043,29
23,MLP_krkopt_FOLD2,0.647746492658,0.660488720714,0.66028164363,0.668746739553,0.30414863833,0.643231799838,0.69585136167,1
24,GaussianNB_krkopt_FOLD0,0.0971656876992,0.0682923730969,0.0621750880178,0.15251192911,0.879034307497,0.249984888639,0.120965692503,25
25,KNN_krkopt_FOLD2,0.609669762465,0.579894475124,0.578584769766,0.718916373797,0.375159073556,0.570556689955,0.624840926444,13
26,MLP_krkopt_FOLD0,0.615641816588,0.656835633312,0.656758677667,0.633277207897,0.307242693774,0.608598610557,0.692757306226,4
27,MLP_krkopt_FOLD1,0.654112555144,0.660599023729,0.660178769477,0.694298685354,0.304093567251,0.63602255848,0.695906432749,2
28,Decision_Tree_krkopt_FOLD2,0.750181329164,0.693801443994,0.693735871628,0.736430950898,0.27437006872,0.770332632025,0.72562993128,20
29,Decision_Tree_krkopt_FOLD1,0.76183555971,0.691691557515,0.691637544711,0.753310884787,0.276379354183,0.772508289253,0.723620645817,22
