,Weight
KNN_pendigits_FOLD4,0.0
SVM_pendigits_FOLD4,0.0911718513454
SVM_pendigits_FOLD3,0.0911572702922
SVM_pendigits_FOLD2,0.0911433439175
SVM_pendigits_FOLD1,0.0911831793612
SVM_pendigits_FOLD0,0.0911758559751
MLP_pendigits_FOLD2,0.0908704159778
MLP_pendigits_FOLD3,0.0909251048341
MLP_pendigits_FOLD0,0.09091760113
MLP_pendigits_FOLD1,0.0909796263902
MLP_pendigits_FOLD4,0.0909872154544
KNN_pendigits_FOLD0,0.0
KNN_pendigits_FOLD1,0.0
KNN_pendigits_FOLD2,0.0
KNN_pendigits_FOLD3,0.0
GaussianNB_pendigits_FOLD3,0.0
GaussianNB_pendigits_FOLD2,0.0
GaussianNB_pendigits_FOLD1,0.0
GaussianNB_pendigits_FOLD0,0.0
GaussianNB_pendigits_FOLD4,0.0
LR_pendigits_FOLD4,0.0
LR_pendigits_FOLD0,0.0
LR_pendigits_FOLD1,0.0
LR_pendigits_FOLD2,0.0
LR_pendigits_FOLD3,0.0894885353222
Decision_Tree_pendigits_FOLD0,0.0
Decision_Tree_pendigits_FOLD1,0.0
Decision_Tree_pendigits_FOLD2,0.0
Decision_Tree_pendigits_FOLD3,0.0
Decision_Tree_pendigits_FOLD4,0.0
