,Weight
GaussianNB_statlog_satimage_FOLD3,0.0
Decision_Tree_statlog_satimage_FOLD4,0.0
SVM_statlog_satimage_FOLD2,0.0916343723106
KNN_statlog_satimage_FOLD2,0.0906807465555
SVM_statlog_satimage_FOLD1,0.091684016994
GaussianNB_statlog_satimage_FOLD0,0.0
GaussianNB_statlog_satimage_FOLD4,0.0
SVM_statlog_satimage_FOLD3,0.0916273089085
GaussianNB_statlog_satimage_FOLD2,0.0
GaussianNB_statlog_satimage_FOLD1,0.0
SVM_statlog_satimage_FOLD0,0.0917156115725
SVM_statlog_satimage_FOLD4,0.0917090628518
MLP_statlog_satimage_FOLD0,0.0
MLP_statlog_satimage_FOLD1,0.0884758993802
MLP_statlog_satimage_FOLD2,0.0
MLP_statlog_satimage_FOLD3,0.0
MLP_statlog_satimage_FOLD4,0.0
Decision_Tree_statlog_satimage_FOLD2,0.0
KNN_statlog_satimage_FOLD3,0.0907518891953
KNN_statlog_satimage_FOLD0,0.090590287672
Decision_Tree_statlog_satimage_FOLD1,0.0
KNN_statlog_satimage_FOLD4,0.0903930963862
LR_statlog_satimage_FOLD2,0.0
LR_statlog_satimage_FOLD3,0.0
LR_statlog_satimage_FOLD0,0.0
LR_statlog_satimage_FOLD1,0.0
LR_statlog_satimage_FOLD4,0.0
Decision_Tree_statlog_satimage_FOLD3,0.0
Decision_Tree_statlog_satimage_FOLD0,0.0
KNN_statlog_satimage_FOLD1,0.0907377081735
