,Global Utility
Decision_Tree_waveform_noise_FOLD1,0.0185863389861
MLP_waveform_noise_FOLD1,0.435166315936
KNN_waveform_noise_FOLD3,0.349839016186
LR_waveform_noise_FOLD2,0.456330522693
GaussianNB_waveform_noise_FOLD0,0.175266571906
KNN_waveform_noise_FOLD4,0.486990624878
GaussianNB_waveform_noise_FOLD1,0.147281467433
LR_waveform_noise_FOLD3,0.362574668918
KNN_waveform_noise_FOLD1,0.387339230341
GaussianNB_waveform_noise_FOLD2,0.173616073705
LR_waveform_noise_FOLD1,0.457734382822
MLP_waveform_noise_FOLD0,0.537096379213
SVM_waveform_noise_FOLD3,0.342152686466
GaussianNB_waveform_noise_FOLD3,0.0435465207555
GaussianNB_waveform_noise_FOLD4,0.224958268952
MLP_waveform_noise_FOLD3,0.376946804571
LR_waveform_noise_FOLD4,0.481525446289
LR_waveform_noise_FOLD0,0.487252419911
SVM_waveform_noise_FOLD2,0.428907506883
KNN_waveform_noise_FOLD2,0.391289553595
MLP_waveform_noise_FOLD4,0.443907874827
KNN_waveform_noise_FOLD0,0.400236158826
SVM_waveform_noise_FOLD0,0.483018935773
SVM_waveform_noise_FOLD1,0.452539111753
SVM_waveform_noise_FOLD4,0.471993175785
Decision_Tree_waveform_noise_FOLD0,0.000652997775491
MLP_waveform_noise_FOLD2,0.453066008622
Decision_Tree_waveform_noise_FOLD3,0.000349694480172
Decision_Tree_waveform_noise_FOLD4,0.000574280152394
Decision_Tree_waveform_noise_FOLD2,0.000535096373854
