,Global Utility
SVM_waveform_noise_FOLD3,0.423139346251
SVM_waveform_noise_FOLD2,0.463210392479
SVM_waveform_noise_FOLD1,0.42844086943
SVM_waveform_noise_FOLD0,0.439021316967
SVM_waveform_noise_FOLD4,0.412567166199
KNN_waveform_noise_FOLD4,0.406053655513
KNN_waveform_noise_FOLD2,0.419706115842
KNN_waveform_noise_FOLD3,0.386126072452
KNN_waveform_noise_FOLD0,0.394763223729
KNN_waveform_noise_FOLD1,0.413875686188
MLP_waveform_noise_FOLD4,0.40621010476
MLP_waveform_noise_FOLD0,0.431212469012
MLP_waveform_noise_FOLD1,0.431142182071
MLP_waveform_noise_FOLD2,0.444503920712
MLP_waveform_noise_FOLD3,0.426080615987
GaussianNB_waveform_noise_FOLD3,0.0995487368288
GaussianNB_waveform_noise_FOLD2,0.109744052319
GaussianNB_waveform_noise_FOLD1,0.101053656792
GaussianNB_waveform_noise_FOLD0,0.106219460288
GaussianNB_waveform_noise_FOLD4,0.108385254925
LR_waveform_noise_FOLD4,0.471034035216
LR_waveform_noise_FOLD2,0.484437045233
LR_waveform_noise_FOLD3,0.473590701848
LR_waveform_noise_FOLD0,0.462810692533
LR_waveform_noise_FOLD1,0.471059268976
Decision_Tree_waveform_noise_FOLD2,0.000723990331455
Decision_Tree_waveform_noise_FOLD3,0.02930814069
Decision_Tree_waveform_noise_FOLD0,0.025517785262
Decision_Tree_waveform_noise_FOLD1,0.0720425582199
Decision_Tree_waveform_noise_FOLD4,0.0567666797375
