,Alt/Cri ,F1,MCC,Cohen Kappa,Precision(Macro),Hamming Loss,Recall(Macro),Accuracy,Ranking
0,Decision_Tree_waveform_noise_FOLD1,0.754474096264,0.632206938745,0.631950231534,0.754823936226,0.245363766049,0.754729090557,0.754636233951,25
1,MLP_waveform_noise_FOLD1,0.858600544382,0.78839027054,0.788166453507,0.858932918933,0.14122681883,0.858760459294,0.85877318117,10
2,KNN_waveform_noise_FOLD3,0.837232523917,0.761688834145,0.757973710621,0.844006727274,0.161428571429,0.839320543263,0.838571428571,16
3,LR_waveform_noise_FOLD2,0.86389701325,0.797522017033,0.796494191669,0.865257852709,0.135714285714,0.864744272077,0.864285714286,14
4,GaussianNB_waveform_noise_FOLD0,0.793523650854,0.728637357714,0.709312217388,0.834399450679,0.194008559201,0.807487835599,0.805991440799,21
5,KNN_waveform_noise_FOLD4,0.871569984675,0.810709905842,0.808768889313,0.874660575291,0.127507163324,0.872775995,0.872492836676,5
6,GaussianNB_waveform_noise_FOLD1,0.78653897414,0.716570853053,0.696481278205,0.833809654414,0.202567760342,0.798693666149,0.797432239658,23
7,LR_waveform_noise_FOLD3,0.840422564873,0.765160814009,0.762263181084,0.84552268488,0.158571428571,0.842158733758,0.841428571429,18
8,KNN_waveform_noise_FOLD1,0.846623745605,0.773373468575,0.771131724285,0.850618966743,0.152639087019,0.847823473766,0.847360912981,7
9,GaussianNB_waveform_noise_FOLD2,0.793108146646,0.729824184872,0.708989533405,0.838174015671,0.194285714286,0.807408982022,0.805714285714,22
10,LR_waveform_noise_FOLD1,0.864249399922,0.797567202827,0.796756403722,0.865701796673,0.135520684736,0.864612437741,0.864479315264,13
11,MLP_waveform_noise_FOLD0,0.884116311923,0.82718210872,0.826704918283,0.884401694562,0.115549215407,0.884859436492,0.884450784593,0
12,SVM_waveform_noise_FOLD3,0.835313629303,0.755074142386,0.753656894547,0.837669608475,0.164285714286,0.836239652157,0.835714285714,19
13,GaussianNB_waveform_noise_FOLD3,0.760593336204,0.687516405026,0.66406025518,0.815785779091,0.224285714286,0.777627244613,0.775714285714,24
14,GaussianNB_waveform_noise_FOLD4,0.805947773851,0.744771987071,0.725212063801,0.849973221275,0.183381088825,0.817870921615,0.816618911175,20
15,MLP_waveform_noise_FOLD3,0.844024992843,0.76722602497,0.766483852802,0.845023780611,0.155714285714,0.844701526536,0.844285714286,17
16,LR_waveform_noise_FOLD4,0.870202221317,0.808364083055,0.806613081477,0.872882568399,0.12893982808,0.871351493576,0.87106017192,4
17,LR_waveform_noise_FOLD0,0.871633062393,0.812172255337,0.809639318852,0.875251873107,0.126961483595,0.873719406074,0.873038516405,1
18,SVM_waveform_noise_FOLD2,0.857033252363,0.786515491563,0.785771559032,0.858123361187,0.142857142857,0.857523299049,0.857142857143,15
19,KNN_waveform_noise_FOLD2,0.847612348782,0.774575055398,0.772945647717,0.849744470122,0.151428571429,0.849121155053,0.848571428571,11
20,MLP_waveform_noise_FOLD4,0.860779670441,0.799165548867,0.793712999763,0.870680896913,0.137535816619,0.862709588855,0.862464183381,8
21,KNN_waveform_noise_FOLD0,0.849846985514,0.781722608552,0.777570988794,0.857280930058,0.148359486448,0.852281053847,0.851640513552,2
22,SVM_waveform_noise_FOLD0,0.870575040141,0.809454729129,0.807494561088,0.873285167614,0.128388017118,0.872221264052,0.871611982882,3
23,SVM_waveform_noise_FOLD1,0.862949664728,0.794905943077,0.79460508726,0.863379043601,0.13694721826,0.863175967011,0.86305278174,12
24,SVM_waveform_noise_FOLD4,0.867818216663,0.803295482522,0.802308291439,0.869381908184,0.131805157593,0.868409976883,0.868194842407,6
25,Decision_Tree_waveform_noise_FOLD0,0.747603418312,0.621840413241,0.621085709749,0.749920136648,0.252496433666,0.74724360683,0.747503566334,26
26,MLP_waveform_noise_FOLD2,0.863082736998,0.794438515454,0.79428529446,0.863458698753,0.137142857143,0.863050406566,0.862857142857,9
27,Decision_Tree_waveform_noise_FOLD3,0.709956388146,0.564981510047,0.564953831835,0.709938557694,0.29,0.710046356657,0.71,29
28,Decision_Tree_waveform_noise_FOLD4,0.738023082474,0.606731623449,0.606662478752,0.738347591289,0.26217765043,0.737874399818,0.73782234957,28
29,Decision_Tree_waveform_noise_FOLD2,0.733171783622,0.599685820064,0.599287349848,0.734348897774,0.267142857143,0.733015576089,0.732857142857,27
